Source,Alternative Names,Reference,Sp Type,System Age Myr,Age range Myr,Sp Type Err,Effective Temperature K,Temp err,Object Mass M_Solar,Accretion Diagnostic,R Band Magnitude,R Band Flux Density (erg/(s*cm^2*Å),Ha EW (Å),Ha Line Flux from R band and EW,PaB EW (Å),BrG EW (Å),Ha Line Flux (erg/(s*cm^2),Hb Line Flux (erg/(s*cm^2),Hgamma Line Flux (erg/(s*cm^2),PaB Line Flux (erg/(s*cm^2),PaG Line Flux (erg/(s*cm^2),BrG Line Flux (erg/(s*cm^2),He I 587.6 Line Flux (erg/(s*cm^2),He I 667.8 Line Flux (erg/(s*cm^2),Ca II K Line Flux (erg/(s*cm^2),Ca II H Line Flux (erg/(s*cm^2),,Line Flux Errors,PaB Line Lum (L_solar),Line Flux erg/s/cm^2,Line Luminosity (W),Log Accretion Luminosity (solar),,Object Luminosity L_solar,Object Luminosity Error,Object Radius from L and T,R_err from L and T,Object Radius R_solar,R_err,Accretion Rate M_solar yr-1,Log Accretion Rate,Object Mass Range M_solar,Object Mass Err,log object mass,Accretion Luminosity (CGS),Companion?,A_V,A_V err,A_V source,Notes/Questions,Notes/Questions2,Notes/Questions3,
[NC98] Cha HA 1,,Natta 2004,M7.5,2,,0.50,2770,150,0.038172,Ha 10% width,,,3.50E+01,0.00E+00,,,,,,,,,,,,,,,,,,,,0.011,0.0105,0.46,,,,1.00E-12,-12,,,,,,0.2,,Natta+ 2004,upper limit,,,.2 dex uncertainty in log L
[NC98] Cha HA 1,,Natta 2004,M7.5,2,,0.50,2770,150,0.038172,PaB luminosity,,,3.50E+01,0.00E+00,,,,,,,,,,,,,,,,,,,,0.011,0.0105,0.46,,,,3.98E-12,-11.4,,,,,,0.2,,Natta+ 2004,,,,.2 dex uncertainty in log L
[NC98] Cha HA 2,,Natta 2004,M6.5,2,,0.50,2910,150,0.066801,Ha 10% width,,,3.30E+01,0.00E+00,,,,,,,,,,,,,,,,,,,,0.034,0.032,0.73,,,,1.00E-10,-10,,,,,,0.8,,Natta+ 2004,,,bad mass,.2 dex uncertainty in log L
[NC98] Cha HA 2,,Natta 2004,M6.5,2,,0.50,2910,150,0.066801,PaB luminosity,,,3.30E+01,0.00E+00,,,,,,,,,,,,,,,,,,,,0.034,0.032,0.73,,,,1.58E-11,-10.8,,,,,,0.8,,Natta+ 2004,upper limit,,bad mass,.2 dex uncertainty in log L
[NC98] Cha HA 3,,Natta 2004,M7,2,,0.50,2840,150,0.057258,Ha 10% width,,,1.00E+01,0.00E+00,,,,,,,,,,,,,,,,,,,,0.035,0.033,0.77,,,,1.00E-12,-12,,,,,,0.3,,Natta+ 2004,upper limit,,,.2 dex uncertainty in log L
[NC98] Cha HA 3,,Natta 2004,M7,2,,0.50,2840,150,0.057258,PaB luminosity,,,1.00E+01,0.00E+00,,,,,,,,,,,,,,,,,,,,0.035,0.033,0.77,,,,7.94E-11,-10.1,,,,,,0.3,,Natta+ 2004,upper limit,,,.2 dex uncertainty in log L
[NC98] Cha HA 6,,Natta 2004,M7,2,,0.50,2840,150,0.047715,PaB luminosity,,,4.80E+01,0.00E+00,,,,,,,,,,,,,,,,,,,,0.027,0.026,0.68,,,,1.58E-11,-10.8,,,,,,0.26,,Natta+ 2004,,,bad mass,.2 dex uncertainty in log L
[NC98] Cha HA 6,,Natta 2004,M7,2,,0.50,2840,150,0.047715,Ha 10% width,,,4.80E+01,0.00E+00,,,,,,,,,,,,,,,,,,,,0.027,0.026,0.68,,,,3.16E-11,-10.5,,,,,,0.26,,Natta+ 2004,,,bad mass,.2 dex uncertainty in log L
2MASS J16261882-2426105,ISO-Oph 023,Natta 2004,M6,1,.1-1,,2700,100,0.057258,PaB luminosity,,,,,,,,,,,,,,,,,,,,,,,,0.040,,0.91,,,,7.94E-11,-10.1,,,,,,9,,"Gatti+2018, converted from A_j",,,,
2MASS J16262152-2426009,"ISO-Oph 030, GY 5",Natta 2004,M7.5,1,.1-1,,2600,100,0.038172,PaB luminosity,18.30,8.62E-17,3.00E+01,2.59E-15,,,,,,,,,,,,,,,,,,,,0.071,,1.31,,,,1.58E-10,-9.8,,,,,,3,,"Gatti+2018, converted from A_j",,,,
2MASS J16262152-2426009,"ISO-Oph 030, GY 5",Natta 2004,M6,1,.1-1,,2700,100,0.057258,Ha 10% width,18.30,8.62E-17,3.00E+01,2.59E-15,,,,,,,,,,,,,,,,,,,,0.071,,1.22,,,,1.58E-11,-10.8,,,,,,3,,"Gatti+2018, converted from A_j",,,,
2MASS J16262189-2444397,ISO-Oph 032,Natta 2004,M7.5,1,.1-1,,2600,100,0.038172,Ha 10% width,17.95,1.19E-16,5.00E+01,5.95E-15,,,,,,,,,,,,,,,,,,,,0.060,,1.21,,,,3.16E-11,-10.5,,,,,,2,,Natta2004,,,,
2MASS J16270659-2441488,ISO-Oph 102,Natta 2004,M6,1,.1-1,,2700,100,0.057258,Ha 10% width,17.57,1.69E-16,4.00E+01,6.76E-15,,,,,,,,,,,,,,,,,,,,0.079,,1.29,,,,1.00E-09,-9,,,,,,3,,"Gatti+2018, converted from A_j",upper limit,,,
2MASS J16270659-2441488,ISO-Oph 102,Natta 2004,M6,1,.1-1,,2700,100,0.057258,PaB luminosity,17.57,1.69E-16,4.00E+01,6.76E-15,,,,,,,,,,,,,,,,,,,,0.079,,1.29,,,,5.01E-11,-10.3,,,,,,3,,"Gatti+2018, converted from A_j",,,,
2MASS J16261882-2426105,ISO-Oph 023,Natta 2006,M7,1,-3.61,,2630.26799,,0.0002454708916,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,2.57E-06,,9.87E+27,-3.61E+00,,0.020,,0.69,,,,,-9.93,,,,,,8.5,,"Gatti+2018, converted from A_j",,Added SIMBAD spectral type (Manara 2015),,
2MASS J16262189-2444397,ISO-Oph 032,Natta 2006,M6.5,1,-4.17,,2691.5348,,0.00006760829754,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,9.77E-07,,3.75E+27,-4.17E+00,,0.037,,0.89,,,,,-10.54,,,,,,2,,Natta2004,,Added SIMBAD spectral type (Manara 2015),,
2MASS J16262226-2424070,"ISO-Oph 033, GY 11",Natta 2006,M8,1,-5.73,,2344.22882,,0.000001862087137,PaB BrG luminosity,,,,,,,,,,,,,,,,,,upper limit,7.08E-08,,2.72E+26,-5.73E+00,,0.001,,0.20,,,,,-11.81,,,,,,7.8,,"Gatti+2018, converted from A_j",upper limit,Added SIMBAD spectral type (Manara 2015),,
2MASS J16264848-2428389,ISO-Oph 070+,Natta 2006,,1,-3.06,,2290.86765,,0.00087096359,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,,,3.34E+29,-3.06E+00,,,,,,,,,-9.12,,,,,companion,3.5,,"Natta+2006, converted from A_j",upper limit,,,
2MASS J16265477-2427022,ISO-Oph 079,Natta 2006,,1,,,2754.2287,,1,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,,,,,,0.058,,1.06,,,,,,,,,,,21,,"Natta+2006, converted from A_j",,,,
2MASS J16265691-2428370,ISO-Oph 082,Natta 2006,M2.5,1,-3.85,,2570.39578,,0.0001412537545,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,,,6.52E+27,-3.85E+00,,,,,,,,,-10.12,,,,,,13.47,,"Natta+2006, converted from A_j",upper limit,Added SIMBAD spectral type (Manara 2015),,
2MASS J16270359-2420054,ISO-Oph 094,Natta 2006,M1.5,1,-3.27,,2570.39578,,0.0005370317964,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,4.57E-06,,1.75E+28,-3.27E+00,,0.013,,0.57,,,,,-9.55,,,,,,13.12,,"Natta+2006, converted from A_j",,Added SIMBAD spectral type (Manara 2015),,
2MASS J16273652-2428332,ISO-Oph 158,Natta 2006,M2,1,-3.46,,2754.2287,,0.0003467368505,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,,,1.27E+28,-3.46E+00,,,,,,,,,-9.86,,,,,,0,,"Natta+2006, converted from A_j",upper limit,Added SIMBAD spectral type (Manara 2015),,
2MASS J16273742-2417548,ISO-Oph 160,Natta 2006,M7.5,1,-3.09,,2691.5348,,0.0008128305162,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,6.03E-06,,2.31E+28,-3.09E+00,,0.027,,0.76,,,,,-9.44,,,,,,6.73,,"Gatti+2018, converted from A_j",,Added SIMBAD spectral type (Manara 2015),,
2MASS J16273894-2440206,ISO-Oph 165,Natta 2006,M2.5,1,-2.2,,2754.2287,,0.006309573445,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,2.75E-05,,1.06E+29,-2.20E+00,,0.045,,0.93,,,,,-8.58,,,,,,14.8,,"Natta+2006, converted from A_j",,Added SIMBAD spectral type (Manara 2015),,
2MASS J16274161-2446447,ISO-Oph 170,Natta 2006,,1,-5.01,,2290.86765,,0.00000977237221,PaB BrG luminosity,,,,,,,,,,,,,,,,,,upper limit,2.34E-07,,9.00E+26,-5.01E+00,,0.001,,0.19,,,,,-11.07,,,,,,3.54,,"Natta+2006, converted from A_j",upper limit,,,
2MASS J16274578-2444538,ISO-Oph 175,Natta 2006,,1,-2.49,,2630.26799,,0.003235936569,PaB BrG luminosity,,,5.74E+01,,,,,,,,,,,,,,,,1.70E-05,,6.52E+28,-2.49E+00,,0.015,,0.59,,,,,-8.79,,,,,,14.18,,"Natta+2006, converted from A_j",,,,
SR12 c,,Santamaria-Miranda 2017/2019,L0,2,2,,2600,,0.013,Ca II,,,,,,,1.34E-18,2.19E-19,6.57E-19,,,,,,,,,,,,,,,,,,,0.19,,4.57E-10,-9.3400838,0.13 +/- 0.07,,,,companion,1.77,0.71,"Kuzuhara+2011, converted from A_J",Corrections published in 2019 Erratum paper,,,
SR12 c,,Santamaria-Miranda 2017/2019,L0,2,2,,2600,,0.013,Ha 10% width,,,,,,,,,,,,,,,,,,,,1.34E-15,,-3.65E+00,,,,,,0.19,,4.90E-11,-10.31,0.13 +/- 0.07,,,,companion,1.77,0.71,"Kuzuhara+2011, converted from A_J",Corrections published in 2019 Erratum paper,,,
SR12 c,,Santamaria-Miranda 2017/2019,L0,2,2,,2600,,0.013,Ha Line Strength,,,,,,,,,,,,,,,,,,,,1.34E-15,,-3.65E+00,,,,,,0.19,,1.16E-12,-11.93554201,0.13 +/- 0.07,,,,companion,1.77,0.71,"Kuzuhara+2011, converted from A_J",Corrections published in 2019 Erratum paper,,,
SR12 c,,Santamaria-Miranda 2017/2019,L0,2,2,,2600,,0.013,Hb Emission,,,,,,,,,,,,,,,,,,,,2.19E-16,,-3.65E+00,,,,,,0.19,,5.99E-13,-12.22257318,0.13 +/- 0.07,,,,companion,1.77,0.71,"Kuzuhara+2011, converted from A_J",Corrections published in 2019 Erratum paper,,,
SR12 c,,Santamaria-Miranda 2017/2019,L0,2,2,,2600,,0.013,HII Emission,,,,,,,,,,,,,,,,,,,,8.93E-17,,-4.20E+00,,,,,,0.19,,1.79E-12,-11.74714697,0.13 +/- 0.07,,,,companion,1.77,0.71,"Kuzuhara+2011, converted from A_J",Corrections published in 2019 Erratum paper,,,
SR12 c,,Santamaria-Miranda 2017/2019,L0,2,2,,2600,,0.013,Hy Emission,,,,,,,,,,,,,,,,,,,,6.57E-16,,-3.82E+00,,,,,,0.19,,1.18E-12,-11.92811799,0.13 +/- 0.07,,,,companion,1.77,0.71,"Kuzuhara+2011, converted from A_J",Corrections published in 2019 Erratum paper,,,
SR12 c,,Santamaria-Miranda 2017/2019,L0,2,2,,2600,,0.013,OI Emission,,,,,,,,,,,,,,,,,,,,1.62E-16,,-3.22E+00,,,,,,0.19,,6.28E-12,-11.20204036,0.13 +/- 0.07,,,,companion,1.77,0.71,"Kuzuhara+2011, converted from A_J",Corrections published in 2019 Erratum paper,,,
SR12 c,,Santamaria-Miranda 2017/2019,L0,2,2,,2600,,0.013,PaB luminosity,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,,4.02E-13,-12.39577395,0.13 +/- 0.07,,,,companion,1.77,0.71,"Kuzuhara+2011, converted from A_J",Corrections published in 2019 Erratum paper,,,
GQ Lup  b,,Zhou 2014,M9,5,3-10,,2050,350,0.0229032,Excess Balmer,,,,,,,,,,,,,,,,,,,,,,-2.90E+00,,,,,,0.653185,0.020098,5.01E-10,-9.3,,,,,companion,1.600E+000,,,T R M from prEVious literature,Added SIMBAD spectral type (Neuhaeuser 2005),,
GQ Lup  b,,Zhou 2014,M9,5,3-10,,2400,,0.0295833,Excess Balmer,,,,,,,,,,,,,,,,,,,,,,-2.90E+00,,,,,,0.462254,0.140686,5.01E-10,-9.3,,,,,companion,1.600E+000,,,T R M meausred by Zhou,Added SIMBAD spectral type (Neuhaeuser 2005),,
GSC 6214-210 b,,Zhou 2014,,11,5-12,,2700,200,0.0133602,Excess Balmer,,,,,,,,,,,,,,,,,,,,,,-4.70E+00,,,,,,0.150735,0.050245,1.00E-11,-11,,,,,companion,5.000E-001,,Bowler+2014,T R M from prEVious literature,,,
GSC 6214-210 b,,Zhou 2014,,11,5-12,,2200,,0.0143145,Excess Balmer,,,,,,,,,,,,,,,,,,,,,,-4.60E+00,,,,,,0.180882,0.050245,1.58E-11,-10.8,,,,,companion,5.000E-001,,Bowler+2014,T R M meausred by Zhou,,,
2MASS J04554757+3028077,,Muzerolle 2005,M4.75,1,,,3161,,0.20,Ha 10% width,,,2.45E+01,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,disk classification from LUHMAN ET AL. JAN 2010,,
2MASS J10561638-7630530,,Muzerolle 2005,M5.6,2,,,3014,,0.10,Ha 10% width,,,4.14E+01,,,,,,,,,,,,,,,,,,,,,,,,,0.64,,,-10.8,,,,,,,,,,,,
2MASS J10580597-7711501,,Muzerolle 2005,M5.25,2,,,3091,,0.10,Ha 10% width,,,5.00E+00,,,,,,,,,,,,,,,,,,,,,,,,,0.47,,,-12,,,,,,,,,upper limit,disk classification from Luhman et al. 2008,,
2MASS J11072443-7743489,,Muzerolle 2005,M5.75,2,,,3024,,0.11,Ha 10% width,19.55,2.73E-17,8.80E+00,2.40E-16,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,-12,,,,,,,,,upper limit,disk classification from Luhman et al. 2008,,
2MASS J11075993-7715317,,Muzerolle 2005,M5.75,2,,,3024,,0.12,Ha 10% width,17.87,1.28E-16,8.40E+00,1.08E-15,,,,,,,,,,,,,,,,,,,,,,,,0.95,,,-12,,,,,,,,,upper limit,disk classification from Luhman et al. 2008,,
2MASS J11080234-7640343,,Muzerolle 2005,M6,2,,,2990,,0.08,Ha 10% width,18.21,9.36E-17,5.00E+00,4.68E-16,,,,,,,,,,,,,,,,,,,,,,,,0.58,,,-12,,,,,,,,,upper limit,disk classification from Luhman et al. 2008,,
2MASS J11173792-7646193,,Muzerolle 2005,M5.75,2,,,3024,,0.08,Ha 10% width,,,1.18E+01,,,,,,,,,,,,,,,,,,,,,,,,,0.42,,,-12,,,,,,,,,upper limit,disk classification from Luhman et al. 2008,,
2MASS J16081497-3857145,,Alcala 2017,M5.5,3,3-10,0.50,3.06E+03,7.10E+01,0.10,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,,,,,,1.26E-14,3.73E-15,2.34E-15,,,,,,,,,".04, .33, .27",,,,-3.40E+00,,,,,,0.33,0.09,5.01E-11,-1.03E+01,,2.00E-02,-1.00E+00,,,,,,,,,
2MASS J16085324-3914401,,Alcala 2017,M3,3,3-10,0.50,3.42E+03,7.90E+01,0.32,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,,,,,,4.87E-14,9.61E-15,5.92E-15,,,,,,,,,".28,1.78,1.64",,,,-3.10E+00,,,,,,1.57,0.38,1.58E-10,-9.80E+00,,4.00E-02,-4.95E-01,,,,,,,,,
2MASS J16085373-3914367,,Alcala 2017,M5.5,3,3-10,0.50,3.06E+03,7.10E+01,0.10,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,,,,,,6.72E-15,,,,,2.76E-16,,,,,,1.14E+00,,,,-3.70E+00,,,,,,0.29,0.06,2.51E-11,-1.06E+01,,2.00E-02,-1.00E+00,,,,,,,,,
2MASS J16085529-3848481,,Alcala 2017,M6.5,3,3-10,0.50,2.94E+03,6.80E+01,0.10,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,,,,,,1.06E-14,1.37E-15,8.13E-16,,,,,,,,,".03,.06,.57",,,,-4.10E+00,,,,,,1.07,0.29,3.16E-11,-1.05E+01,,2.00E-02,-1.00E+00,,,,,,,,,
2MASS J16100133-3906449,,Alcala 2017,M6.5,3,3-10,0.50,2.94E+03,6.80E+01,0.14,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,,,,,,2.20E-14,2.20E-15,1.01E-15,,,,,,,,,".05,.23,.2",,,,-3.40E+00,,,,,,1.77,0.55,2.04E-10,-9.69E+00,,3.00E-02,-8.54E-01,,,,,,,,,
V* AA Tau,,Gullbring 1998,K7,1,,,,,0.53,Excess Balmer,,,,,,,,,,,,,,,,,,,,,,2.50E-02,,0.710,,,,1.74,,3.30E-09,-8.48148606,,,,,,,,,,,,
V* AA Tau,,Salyk 2013,K7,11,,,4060,,0.53,PfB,,,,,,,,,,,,,,,,,,,,2.09E+28,,-1.43E+00,,0.710,,1.71,,1.74,,,-8.31,,,,,,,,,,,,
V* AB Aur,,Salyk 2013,A0,1,,,9840,,2.40,PfB,,,,,,,,,,,,,,,,,,,,2.75E+30,,5.00E-01,,48.000,,2.39,,,,,-6.9,,,,,,,,,,,,
2MASS J15445789-3423392,,Alcala 2017,M5,3,3-10,0.50,3.13E+03,7.20E+01,0.12,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,,,,,,,,,,,,,,,,,,,,,-4.10E+00,,,,,,0.44,0.1,1.26E-11,-1.09E+01,,3.00E-02,-9.21E-01,,,,,,,,,
V* V866 Sco A,,Salyk 2013,K5,1,,,4450,,1.50,PfB,,,,,,,,,,,,,,,,,,,,5.01E+29,,-1.80E-01,,7.100,,4.50,,,,,-7.1,,,,,,,,,,,,
V* V866 Sco B,,Salyk 2013,M3,1,,,3450,,0.30,PfB,,,,,,,,,,,,,,,,,,,,2.69E+29,,-4.20E-01,,2.190,,4.15,,,,,-6.68,,,,,companion,,,,,,,
2MASS J16491530-1422087,,Salyk 2013,K5,1,,,4395,,1.40,PfB,,,,,,,,,,,,,,,,,,,,3.24E+29,,-3.50E-01,,2.500,,2.73,,2.4,,,-7.52,,,,,,,,,,,,
V* BF Ori,,Salyk 2013,A5 F6,,,,,,2.10,PfB,,,,,,,,,,,,,,,,,,,,6.92E+29,,-5.00E-02,,27,,,,2.7,,,-7.34,,,,,,,,,,,,
V* BP Tau,,Gullbring 1998,K7,1,,,,,0.49,Excess Balmer,,,,,,,,,,,,,,,,,,,,,,1.79E-01,,0.925,,,,1.99,,2.88E-08,-7.540607512,,,,,,,,,,,,
[NC98] Cha HA 2,,Mohanty 2005,M5.25,2,,,3100,,0.14,Ca II,,,6.33E+01,,,,,,,,,,,,,,,,,4.56E+00,,,,,,,,,,2.51E-11,-10.6,,,,,,,,,upper limit,disk classification from Luhman et al. 2008 Accretion rate equation 1,,
[NC98] Cha HA 2,,Mohanty 2005,M5.25,2,,,3100,,0.14,Ca II,,,6.33E+01,,,,,,,,,,,,,,,,,4.56E+00,,,,,,,,,,1.58E-11,-10.8,,,,,,,,,upper limit,disk classification from Luhman et al. 2008 Accretion rate equation 3,,
[NC98] Cha HA 5,,Natta 2004,M6,2,,0.50,2980,150,0.10,Ha 10% width,,,,,,,,,,,,,,,,,,,,,,,,0.049,,0.83,,,,1.00E-12,-12,,,-1.020315076,,,,,,upper limit,,,
[NC98] Cha HA 5,,Natta 2004,M6,2,,0.50,2980,150,0.10,PaB luminosity,,,,,,,,,,,,,,,,,,,,,,,,0.049,,0.83,,,,1.00E-10,-10,,,-1.020315076,,,,,,upper limit,,,
[NC98] Cha HA 6,,Mohanty 2005,M5.75,2,,,3025,,0.12,Ca II,,,5.96E+01,,,,,,,,,,,,,,,,,4.51E+00,,,,,,,,,,2.51E-11,-10.6,,,,,,,,,upper limit,disk classification from Luhman et al. 2008 Accretion rate equation 1,,
[NC98] Cha HA 6,,Mohanty 2005,M5.75,2,,,3025,,0.12,Ca II,,,5.96E+01,,,,,,,,,,,,,,,,,4.51E+00,,,,,,,,,,1.58E-11,-10.8,,,,,,,,,upper limit,disk classification from Luhman et al. 2008 Accretion rate equation 3,,
2MASS J11115400-7619311,CHXR49NE,Muzerolle 2005,M2.5,2,,,3430,,0.44,Ha 10% width,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,,,,,,,,,,,,,,,
CIDA14,COORD????,Muzerolle 2003,M5,2.04,,,,,0.12,Ha 10% width,,,3.40E+01,,,,,,,,,,,,,,,,,,,1.91E-07,,0.229,,,,1,,5.01E-11,-10.3,0.12,,-0.920818754,7.64E+26,,0.34,,,,disk classification from LUHMAN ET AL. JAN 2010,,
CITau,,Salyk 2013,K7,1,,,4060,,0.77,PfB,,,,,,,,,,,,,,,,,,,,1.45E+29,,-6.60E-01,,0.840,,1.86,,,,,-7.68,,,,,,,,,,,,
CK4,,Salyk 2013,K3,1,,,4730,,,PfB,,,,,,,,,,,,,,,,,,,,3.09E+29,,3.70E-01,,,,,,,,,,,,,,,,,,,,,
2MASS J19014156-3658312,CrAIRS2,Salyk 2013,K2,1,,,4900,,,PfB,,,,,,,,,,,,,,,,,,,,1.59E+30,,2.80E-01,,,,,,,,,,,,,,,,,,,,,
CVCha,,Salyk 2013,G8,2,,,5451,,2.10,PfB,,,,,,,,,,,,,,,,,,,,2.24E+30,,4.10E-01,,8.000,,3.18,,3.2,,,-6.81,,,,,,,,,,,,
CYTau,,Gullbring 1998,M1,1,,,,,0.42,Excess Balmer,,,,,,,,,,,,,,,,,,,,,,4.10E-02,,0.460,,,,1.63,,7.50E-09,-8.124938737,,,,,,,,,,,,
DETau,,Gullbring 1998,M2,1,,,,,0.26,Excess Balmer,,,,,,,,,,,,,,,,,,,,,,7.10E-02,,0.870,,,,2.45,,2.64E-08,-7.578396073,,,,,,,,,,,,
DFTau,,Gullbring 1998,M1,1,,,,,0.27,Excess Balmer,,,,,,,,,,,,,,,,,,,,,,3.58E-01,,1.970,,,,3.37,,1.77E-07,-6.752026734,,,,,,,,,,,,
DKTau,,Gullbring 1998,K7,1,,,,,0.43,Excess Balmer,,,,,,,,,,,,,,,,,,,,,,1.66E-01,,1.450,,,,2.49,,3.79E-08,-7.42136079,,,,,,,,,,,,
DNTau,,Gullbring 1998,M0,1,,,,,0.38,Excess Balmer,,,,,,,,,,,,,,,,,,,,,,1.60E-02,,0.870,,,,2.09,,3.50E-09,-8.455931956,,,,,,,,,,,,
DOTau,,Gullbring 1998,M0,1,,,,,0.37,Excess Balmer,,,,,,,,,,,,,,,,,,,,,,6.00E-01,,1.010,,,,2.25,,1.44E-07,-6.841637508,,,,,,,,,,,,
DQTau,,Gullbring 1998,M0,1,,,,,0.44,Excess Balmer,,,,,,,,,,,,,,,,,,,,,,4.00E-03,,0.635,,,,1.785,,6.00E-10,-9.22184875,,,,,,,,,,,,
DSTau,,Gullbring 1998,K5,1,,,,,0.87,Excess Balmer,,,,,,,,,,,,,,,,,,,,,,2.09E-01,,0.570,,,,1.36,,1.29E-08,-7.88941029,,,,,,,,,,,,
2MASS J16030548-4018254,EXLup,Alcala 2017,M0,3,3-10,0.50,3.85E+03,1.77E+02,0.56,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,,,,,,1.53E-12,6.68E-13,6.37E-13,,,3.29E-14,,,,,,,,,,-7.00E-01,,,,,,2.49,0.58,3.63E-08,-7.44E+00,,1.40E-01,-2.52E-01,,,,,,,,,
2MASS J04323034+1731406,GGTau,Gullbring 1998,K7,1,,,,,0.44,Excess Balmer,,,,,,,,,,,,,,,,,,,,,,8.40E-02,,,,,,2.31,,1.75E-08,-7.756961951,,,,,,,,,,,,
2MASS J04333405+2421170,GITau,Gullbring 1998,K6,1,,,,,0.67,Excess Balmer,,,,,,,,,,,,,,,,,,,,,,9.40E-02,,,,,,1.735,,9.60E-09,-8.017728767,,,,,,,,,,,,
2MASS J04333456+2421058,GKTau,Gullbring 1998,K7,1,,,,,0.46,Excess Balmer,,,,,,,,,,,,,,,,,,,,,,3.50E-02,,,,,,2.15,,6.40E-09,-8.193820026,,,,,,,,,,,,
2MASS J04551098+3021595,GMAur,Gullbring 1998,K7,1,,,,,0.52,Excess Balmer,,,,,,,,,,,,,,,,,,,,,,7.10E-02,,,,,,1.78,,9.60E-09,-8.017728767,,,,,,,,,,,,
2MASS J16262152-2426009,"ISO-Oph 030, GY 5",Mohanty 2005,M5.5,1,,,3050,,0.12,Ca II,18.30,8.62E-17,6.49E+01,,,,,,,,,,,,,,,,,4.52E+00,,,,,,,,,,2.51E-11,-10.6,,,,,,,,,upper limit,disk classification from Luhman 1999. Accretion rate equation 1,,
2MASS J16262152-2426009,"ISO-Oph 030, GY 5",Mohanty 2005,M5.5,1,,,3050,,0.12,Ca II,18.30,8.62E-17,6.49E+01,,,,,,,,,,,,,,,,,4.52E+00,,,,,,,,,,1.58E-11,-10.8,,,,,,,,,upper limit,disk classification from Luhman 1999. Accretion rate equation 3,,
Hen3-600A,Hen3-600A,Herczeg 2009,M3,8,,,3415,,0.37,Excess Balmer,,,3.70E+01,,,,2.14E-12,4.79E-13,3.55E-13,,,,6.31E-14,2.00E-14,1.23E-13,,,he 667.8 upper limit,,,,-2.50E+00,,,,,,0.81,,2.51E-10,-9.6,,,-0.4317982759,,companion,,,,,,,
Hen3-600B,Hen3-600B,Herczeg 2009,M3.5,8,,,3342,,0.29,Excess Balmer,,,3.40E+00,,,,1.23E-13,6.92E-14,3.24E-14,,,,2.00E-14,2.00E-14,6.46E-14,,,he lines are upper limits,,,,-4.10E+00,,,,,,0.69,,7.94E-12,-11.1,,,-0.5376020021,,companion,,,,,,,
2MASS J04333935+1751523,HNTau,Gullbring 1998,K5,1,,,,,0.81,Excess Balmer,,,,,,,,,,,,,,,,,,,,,,3.50E-02,,,,,,0.76,,1.30E-09,-8.886056648,,,,,,,,,,,,
IC348 165,check name,Mohanty 2005,M5.25,1,,,3100,,0.14,Ca II,,,6.60E+01,,,,,,,,,,,,,,,,,5.60E+00,,,,,,,,,,3.16E-10,-9.5,,,,,,,,,,disk classification from Ruiz-Rodrigues 2018 Accretion rate equation 1,,
IC348 165,check name,Mohanty 2005,M5.25,1,,,3100,,0.14,Ca II,,,6.60E+01,,,,,,,,,,,,,,,,,5.60E+00,,,,,,,,,,1.26E-10,-9.9,,,,,,,,,,disk classification from Ruiz-Rodrigues 2018 Accretion rate equation 3,,
IC348 165,,Muzerolle 2003,M5.25,0.44,,,,,0.12,Ha 10% width,17.71,1.48E-16,5.40E+01,7.99E-15,,,,,,,,,,,,,,,,,,3.81E-07,,0.105,,,,1,,1.00E-10,-10,0.12,,-0.920818754,1.52E+27,,2.41,,"Luhman 1998, converted from A_J",,disk classification from Ruiz-Rodrigues 2018,,
2MASS J03441012+3204045,IC348 173,Muzerolle 2003,M5.75,0.25,,,,,0.10,Ha 10% width,18.25,9.02E-17,8.60E+01,7.76E-15,,,,,,,,,,,,,,,,,,3.18E-07,,0.112,,,,1,,1.00E-10,-10,0.1,,-1,1.27E+27,,1.42,,,,disk classification from Ruiz-Rodrigues 2018,,
2MASS J03442980+3200545,IC348 205,Mohanty 2005,M6.0,1,,,3000,,0.10,Ca II,,,9.30E+01,,,,,,,,,,,,,,,,,5.08E+00,,,,,,,,,,1.00E-10,-10,,,,,,,,,,disk classification from Ruiz-Rodrigues 2018 Accretion rate equation 1,,
