Sixth Catalog of Orbits of Visual Binary Stars: Orbits																																	
RA(2000).	DEC(2000)	WDS.......	DD............	ADS..	HD....	HIP...	V1.11	*	V2.22	*	PPPPP.PPPPPP	*	eee.eeeeee	AAA.AAAAA	*	ee.eeeee	III.IIII	eee.eeee	NNN.NNNN	eee.eeee	TTTTT.TTTTTT	*	eee.eeeeee	E.EEEEEE	e.eeeeee	OOO.OOOO	eee.eeee	EQNX	LAST	G	N	REF.....	PNGFILE...........
143656.24	481317.9	14369+4813	A   347	9324	128718	71467	8.68		8.37		212.35	y	15	0.494	a	0.01	145.1	3	83.4	3	1910.9	y	5	0.197	0.01	31.2	15	2000	2001	3	n	Doc2004a	wds14369+4813b.png
143700.3	-121822.4	14370-1218	GC 19695		128429	71469	6.2				1086.2062	d	77.001	21.28	m	2.88	127.58	7.77	88.73	7.5	48096.6484	d	19.5184	0		0			1991	9	n	HIP1997d	wds14370-1218r.png
143720.15	-460800.3	14373-4608	"FIN 318Aa,Ab"		128266	71500	6.22		6.5		141	y		0.216	a		122		189.9		1973	y		0.75		272.8		2000	2013	4	n	Tok2014a	wds14373-4608g.png
143728.49	21638.7	14375+0217	"CHR  42Aa,Ab"	9323	128563	71510	6.6		8.5		21.54	y	0.1	0.143	a	0.007	53.7	3	312.4	3.6	1994.64	y	0.2	0.844	0.016	41.9	5.6	2000	2014	3	n	Tok2015c	wds14375+0217o.png
143800.71	513442.1	14380+5135	STF1863	9329	128941	71548	7.71		7.8		538	y		1.08	a		108.2		140.2		1774.3	y		0.91		269		2000	2010	4		Zir2013a	wds14380+5135f.png
143817.68	-495403.9	14383-4954	FIN 371		128415	71577	7.4		7.4		27.61	y		0.07	a		117.3		37.6		1998.61	y		0.548		152.3		2000	2013	3		Zir2014a	wds14383-4954a.png
143900.21	641729.9	14390+6417	KON   1		129333	71631	6		8.9		45	y	5	0.412	a	0.015	95	3	172	1	46960	d	30	0.82	0.03	180	10		2002	5	n	Kng2005	wds14390+6417a.png
143940.9	-605006.5	14396-6050	RHD   1AB		128620	71683	-0.01		1.33		79.91	y	0.011	17.57	a	0.022	79.205	0.041	204.85	0.084	1875.66	y	0.012	0.5179	0.00076	231.65	0.076			2	n	Pbx2002	wds14396-6050a.png
144021.88	215832.8	14404+2159	MCA  40		129132	71729	6.05		7.1		9.151	y	0.041	71	m	0.6	107.4	0.6	79	0.6	2003.66	y	0.28	0.049	0.021	265	13	2000	2008	2	n	Hor2011b	wds14404+2159k.png
144044.21	311723.5	14407+3117	STF1867	9340	129260	71764	8.36		8.83		1069	y		1.209	a		136		85.2		2086.9	y		0.914		240.1		2000	2010	5		Zir2013a	wds14407+3117f.png
144100.84	575728.1	14410+5757	STF1872AB	9346	129580	71782	7.53		8.32		18.9	c	10.01	4.98	a	1.63	21.2	6.6	50	3	2872.2	y	489.7	0.53	0.22	174	3			5		Kiy2010	wds14410+5757a.png
144100.84	575728.1	14410+5757	STF1872AB	9346	129580	71782	7.53		8.32		20.35	c	12.8	5.23	a	2.01	19.4	6.2	50	18	2887.7	y	895.5	0.46	0.24	139	18			5		Kiy2010	wds14410+5757b.png
144100.84	575728.1	14410+5757	STF1872AB	9346	129580	71782	7.53		8.32		26.44	c	22.39	5.78	a	2.93	19.4	6.2	50	22	3100	y	241.3	0.34	0.22	132	22			5		Kiy2010	wds14410+5757c.png
144106.74	-223706.7	14411-2237	RST2917		129065	71792	7.58		9.02		140	y		0.317	a		135.4		123.5		2045	y		0.65		103.2		2000	1997	4		USN2002	wds14411-2237a.png
144108.92	134342	14411+1344	STF1865AB	9343	129246	71795	4.46		4.55		125.24	y		0.825	a		126		176.5		1898.58	y		0.98		61.8		2000	2006	2	n	Sca2007f	wds14411+1344b.png
144233.81	192848.6	14426+1929	HU  575AB	9352		71914	9.77		10.05		51.7	y		0.64	a		120		178		1982	y		0.09		204		2000		2	n	Sod1999	wds14426+1929a.png
144247.6	63526.4	14428+0635	A  1109AB	9353	129517		7.44		9.44		1407.62	y		2.823	a		52.5		221.34		3298	y		0.8475		98.6		2000	2005	5		WSI2006b	wds14428+0635a.png
144529.74	422256.4	14455+4223	STT 285AB	9378	130188	72153	7.75		8.66		88.933	y	0.085	0.327	a	0.01	164.5	1.6	71.4	6	2060.738	y	0.099	0.5232	0.002	171	6.1	2000	2013	2	n	Sca2015b	wds14455+4223o.png
144553.04	234338.2	14459+2344	COU 100				9.2		9.9		78.21	y	0.11	0.42	a	0.003	102.7	2.5	25.5	5	2009.42	y	0.05	0.815	0.005	255	8	2000	2007	4	n	Doc2010h	wds14459+2344c.png
144610.92	-211032.6	14462-2111	FIN 309		129980	72217	7.3		7.3		12.929	y	0.021	0.1814	a	0.0021	25.9	2.6	281.9	4.1	1995.249	y	0.055	0.6428	0.0051	39.5	4.7	2000	2009	2	n	Msn2010c	wds14462-2111a.png
144615.54	93850.6	14463+0939	STF1879AB	9380	130145	72221	7.79		8.45		253	y	10	1.111	a	0.033	117.8	3.4	251.24	0.87	1866	y	3	0.6989	0.001	327.8	4.6	2000		3	n	Msn1999a	wds14463+0939a.png
144621.64	-72248.7	14464-0723	STF1876AB	9379	130089		8.46		8.62		645	y		1.26	a		50.4		120.1		2140	y		0.357		99.6		2000	1999	5		USN2002	wds14464-0723a.png
144853.22	55715.9	14489+0557	STF1883	9392	130604	72447	7.02		8.95		226.28	y	1.84	0.8115	a	0.0036	107.26	0.33	99.61	0.25	1965.35	y	0.22	0.6261	0.0037	42.24	0.62	2000	2013	2	n	WSI2015	wds14489+0557o.png
144910.88	-104938	14492-1050	HU  141	9395	130558	72478	7.92		9.21		173.9	y		0.374	a		57.4		6.9		1949.33	y		0.89		114.8		2000	2008	3		Zir2015a	wds14492-1050i.png
144913.7	101253.7	14492+1013	A  2983	9397	130669	72479	9.36		9.27		9.97	y		0.122	a		40		143		1988.2	y		0.51		338		2000		2	n	Sod1999	wds14492+1013a.png
144919.09	-140856.3	14493-1409	BU  106AB	9396	130559	72489	5.61		6.62		614	y		1.587	a		52.9		46.5		1655	y		0.65		116.5		2000	2008	5	n	Zir2015a	wds14493-1409i.png
144923.71	-671409.6	14494-6714	DON 680		130042	72493	7.45		9.76		261.4	y		1.945	a		102.4		238.9		1943.69	y		0.436		203.8		2000	2013	5		Zir2014a	wds14494-6714a.png
145015.72	235442.4	14503+2355	"POT   1A,BC"		130948	72567	5.88		13.9		28124.9	y		52.7	a		92.2		177.3		8357.6	y		0.61		233.7			2009	5	n	Gns2013b	wds14503+2355c.png
145015.72	235442.4	14503+2355	"POT   1A,BC"		130948	72567	5.88		13.9		31976.4	y		57.4	a		91.8		175.3		15492.7	y		0.37		278.9			2009	5	n	Gns2013b	wds14503+2355d.png
145015.72	235442.4	14503+2355	"POT   1A,BC"		130948	72567	5.88		13.9		3590.4	y		13.4	a		96.6		164.4		4737.5	y		0.86		282.7			2009	5	n	Gns2013b	wds14503+2355e.png
145015.91	235441.8	14503+2355	POT   1BC		130948	72567	13.9		14.2		10.28	y	0.17	0.1245	a	0.0014	95.7	0.2	313.39	0.12	54613	m	22	0.176	0.006	244	3		2010	4	n	Dup2011	wds14503+2355f.png
145103.3	-370549.7	14511-3706	I   529		130779	72639	9.64		10		2507.26	y		2.657	a		166.66		76.71		1944.06	y		0.9329		257.23		1900	1975	5	n	Dom1978	wds14511-3706a.png
145123.28	190602.3	14514+1906	STF1888AB	9413	131156	72659	4.76	v	6.95		151.6	y		4.94	a		139		347		1909.3	y		0.51		203		2000		2	n	Sod1999	wds14514+1906a.png
145127.53	445542.6	14515+4456	STT 287	9418	131315	72666	8.4		8.62		340	y		0.91	a		67		166.9		2067	y		0.34		306		2000		4	n	Hei1997	wds14515+4456a.png
145230.05	184419.5	14525+1844	BU   31AB	9423	131334	72764	8.53		10.26		2085.5	y		3.369	a		64.8		215.4		1915.06	y		0.453		325.1		2000	2013	5		Hrt2014a	wds14525+1844f.png
145304.85	-463812.5	14531-4638	I   952		131078	72821	8.51		10.14		99.13	y		0.521	a		156.1		27.1		1981.39	y		0.659		268.1		2000	2009	4		FMR2011d	wds14531-4638k.png
145323.35	154218.3	14534+1542	STT 288	9425	131473	72846	6.89		7.55		313	y		1.358	a		108.5		12.5		1824	y		0.5		49				4	n	Hei1998	wds14534+1542a.png
145324.04	190908.2	14534+1909	DE Boo		131511	72848	6.01				125.4	d		16.54	m	0.18	93.4	4.2	248.3	3.6	50203.4	d		0.51		219			1992	9	n	Jnc2005	wds14534+1909s.png
145351.9	233319.9	14540+2335	REU   2			72896	12.24		12.66		34.1	y		0.69	a		120		120		1996	y		0.77		212		2000	1989	4	n	Hei1990c	wds14540+2335a.png
145410.91	-662512.4	14542-6625	HJ 4707		130940	72921	7.53		8.09		346	y	4.7	1.577	a	0.023	113.76	0.6	60.67	0.91	1933.9	y	1.4	0.3903	0.0045	359.4	2	2000	1997	4	n	Msn1999a	wds14542-6625a.png
145430.38	160608.2	14545+1606	"MEL   2Ba,Bb"				16		16.4		2.37	y	0.002	0.0908	a	0.0008	33.6	1.3	144.8	1.9	2003.15	y	0.005	0.31	0.006	77.4	1.7	2000	2009	2	n	Kon2010	wds14545+1606k.png
145546.57	393854.3	14558+3939	A  1627	9441	132027	73053	8.8		8.8		101.25	y		0.23	a		61.8		24		1954.52	y		0.05		309.7			1990	3	n	Baz1993a	wds14558+3939a.png
145612.99	174453	14562+1745	HDS2108			73085	11.8	0	12.31		37.53	y		0.193	a		126.9		34.4		2016.35	y		0.489		174.1		2000	2008	4		Cve2015b	wds14562+1745o.png
145630.78	-343754.2	14565-3438	I   227AB		131751	73108	8.06		8.39		40	y		0.2563	a		126.2		85.7		1955.5	y		0.865		162.77		1950	1960	4	n	Ltg1961c	wds14565-3438a.png
145630.89	25512.2	14565+0255	A  2172	9443	131954		8		8.6		168.3	y		0.196	a		115		128.5		2000.4	y		0.177		326		2000	2009	3		Hrt2010a	wds14565+0255b.png
145643.98	-624651.6	14567-6247	FIN 372		131492	73129	5.9		5.9		39.62	y	0.78	0.08564	a	0.00056	153.3	2	228	5.2	1993.81	y	0.12	0.3041	0.0081	68.6	6.5	2000	2009	3	n	Msn2010c	wds14567-6247c.png
145726.54	-212441.4	14575-2125	"H N  28Ba,Bb"	9446	131976	73182	8.18		9.8		0.845696	y		0.1507	a		107.6		195.9		1996.51105	y		0.7559		127.56		2000	1998	3	n	Frv1999	wds14575-2125a.png
145728	-212455.7	14575-2125	H N  28AB	9446	131977	73184	5.88		8.18		2130	y		32.34	a		72.53		317.31		1689	y		0.2		252.1		2000	1991	5	n	Hle1994	wds14575-2125b.png
145735.12	655556.6	14576+6556	RR UMi		132813	73199	4.71				748.9	d		4.4	m	0.1	79.6	2.4	48	2.5	44419	d		0.13		212		2000		9	n	Ren2013	wds14576+6556f.png
145808.81	-485143.9	14581-4852	WSI  80				6.4		10.7		23.4	y	0.94	0.342	a	0.05	113.1	6.6	267.3	4.9	1998.44	y	2.07	0.724	0.02	297	8.6	2000	2014	4	n	Tok2015c	wds14581-4852o.png
145821.57	440235.9	14584-4443	STF1896B		132563	73261	9.68				1544	d	34	27.3	m	2.8					2593	m	148	0.22	0.09	158	35		2010	9	n	Des2011	
145839.26	-273926.3	14587-2739	BU  239	9453	132219	73284	6.17		6.79		429.19	y		0.836	a		66.9		126.6		2217.25	y		0.337		75.5		2000	1998	4	n	Lin1998a	wds14587-2739a.png
145849.32	355058.7	14588+3551	COU1136		132583		9.9		10.5		250	y	50	0.431	a	0.043	109.8	0.5	76.9	2.5	2009.5	y	0.1	0.835	0.002	65.9	4.5	2000	2007	4	n	Doc2010h	wds14588+3551b.png
145920.35	464903.5	14593+4649	COU1760			73346	9.61		10.47		251.7	y		0.54	a		70.6		187		1975.23	y		0.811		291.5		2000	2010	4		Hrt2014b	wds14593+4649i.png
145950.12	-220041.4	14598-2201	"Ci 18,1988"		132475	73385	8.57				3.559	y		0.032	a		32		90		1933.975	y		0		0			1937	9	n	Ald1938b	wds14598-2201r.png
150006.04	-733207.5	15001-7332	CP-73 1409		131664	73408	8.13				1951	d	41.2	4.3	m	0.8	167.7	2.4	321	31.2	52060	d	41	0.64	0.02	149.7	1			9	n	SaJ2011	wds15001-7332o.png
150010	212848.8	15002+2129	HU  907	9473		73411	10.19		10.2		259.8	y		0.339	a		62.2		157.5		2123.28	y		0.29		272		2000	2009	5		Lin2011b	wds15002+2129k.png
150027.71	714554.9	15005+7146	9 UMi		133621	73440	6.66				467.2	d		4.1	m	0.8	51.9	12	307.5	6.7	47349	d		0.217		10		2000		9	n	Ren2013	wds15005+7146f.png
150046.94	350754.7	15008+3508	TY Boo				11.4				55.8	y	27		m		77.5							0.26	0.07					7	n	Pbl2006	
150127.11	601215.9	15014+6012	GC 20233		133388	73507	5.92				691.0524	d	17.4599	6.84	m	0.74	126.06	7.72	13.1	8.72	48058.582	d	19.1686	0		0			1991	9	n	HIP1997d	wds15014+6012r.png
150306.63	443839.9	15031+4439	CHR  43		133484	73637	6.65				170.88	y	8.91	0.626	a	0.047	73.9	2.8	222.2	4.9	1999.39	y	2.81	0.586	0.028	347.1	13.2		2007	5		Hrt2009	wds15031+4439a.png
150332	-403522.8	15035-4035	I  1262		133022	73667	9.53		9.85		134	y		0.286	a		53		41.3		1917	y		0.38		126				5	n	Hei1996a	wds15035-4035a.png
150347.3	473914.6	15038+4739	STF1909	9494	133640	73695	5.2		6.1	v	209.8	y	3.3	3.666	a	0.021	83.55	0.05	57.14	0.06	2012.04	y	0.26	0.5111	0.0065	39.86	0.68	2000		2	n	Zir2011	wds15038+4739b.png
150407.07	-65314.4	15041-0653	HO  391AB	9492	133352	73717	7.83		11.34		536	y		2.263	a		128.1		107.7		2016.7	y		0.376		70.4		2000	2009	5	n	Lin2013b	wds15041-0653b.png
150414.24	-152951.4	15042-1530	RST3906		133316	73724	8.67		9.17		41	y		0.24	a		129		159		1964.7	y		0.19		42		2000	1979	4	n	Hei1981a	wds15042-1530a.png
150444.33	-562518.1	15047-5625	RST2937		133044		9.1		9.1		146.05	y	24.74	0.214	a	0.028	105.9	4.3	173.6	2	2006.5	y	0.03	0.809	0.054	113.4	6	2000	2014	4		Tok2015c	wds15047-5625o.png
150454.07	-183526.2	15049-1835	LTT 6010		133412	73787	9.5				521.6112	d	34.0532	11.35	m	1.66	74.45	18.58	33.59	15.64	48349.293	d	14.5214	0		0			1991	9	n	HIP1997d	wds15049-1835r.png
150708.61	-21650.5	15071-0217	A   689	9504	133928	73982	8.2		8.7		66	y		0.31	a		103.9		164		1935.6	y		0.88		65			1982	4	n	Baz1987d	wds15071-0217a.png
150720.34	182631	15073+1827	A  2385	9505	134064	74000	6.8		6.8		8	y		0.1	a		122.6		41.3		1939.97	y		0.45		71.4			1945	4	n	Egg1946b	wds15073+1827a.png
150747.23	395558.3	15078+3956	COU1271		134303		9		10		137.83	y		0.38	a		0		0		0	y		0		0				5		Cou1999b	wds15078+3956a.png
150809.13	395812.8	15082+3958	RUC  23			74061	9.01	k	14.98	k	34	y	5		m									0.58	0.04					7	n	Pbl2006	
150823.78	261804.3	15084+2618	46 Boo		134320	74087	5.68				2567.1	d		11.2	m	1.6	62	9	82.6	6.6	48356.6	d		0.83		175.3			1992	9		Jnc2005	wds15084+2618r.png
150850.63	-451647.3	15088-4517	SEE 219AB		133955	74117	4.43		5.23		70.8	y	0.8	0.2597	a	0.0021	71.59	0.41	26.64	0.61	1997.907	y	0.105	0.6283	0.009	299.9	1.1	2000	2012	2	n	Tok2012b	wds15088-4517f.png
151213.31	-194729.9	15122-1948	"B  2351Aa,Ab"	9532	134759	74392	5.1		5.5		23.46	y		0.129	a		154.2		174.5		1971.13	y		0.244		341.5		2000	2009	2	n	Msn2012a	wds15122-1948f.png
151240.62	600804.9	15127+6008	HU 1159	9545	135529	74428	9.45		9.92		166.58	y		0.231	a		39.5		264		1955.44	y		0.769		282.2		2000	2008	4	n	Hrt2014b	wds15127+6008i.png
151335.21	345254.8	15136+3453	HO   60	9547	135365	74512	9.2		9.3		183	y		0.281	a		109.3		34		1973.28	y		0.543		164.2		2000	2005	4	n	Doc2009a	wds15136+3453a.png
151503.25	364948.9	15151+3650	STT 295	9554	135657	74643	8.8		9.45		233	y		0.487	a		41.7		133.8		2021	y		0.94		173.3		2000	2009	5		Zir2014a	wds15151+3650a.png
151511.37	45621.7	15152+0456	HDS2143		135482	74649	5.61		7.9		66	y	5	229	m	2	132	4	354	8	2063	y	5	0.962	0.005	275	5	2000	2014	5		Hor2015b	wds15152+0456o.png
151530.16	331853.4	15155+3319	STFA 27AB	9559	135722	74666	3.56		7.89		760	c		78	a		74		91		22775	y		0.99		136			2005	5	n	Kis2009	wds15155+3319a.png
151530.16	331853.4	15155+3319	STFA 27AB	9559	135722	74666	3.56		7.89		760	c		78	a		86		75		39773	y		0.73		218			2005	5	n	Kis2009	wds15155+3319b.png
151601.56	-45352.3	15160-0454	STF3091AB	9557	135578	74703	7.74		8.48		148	y		0.708	a		93.1		222.8		2032.16	y		0.82		104.9		2000	1997	3	n	Msn1999c	wds15160-0454a.png
151820.19	265024.7	15183+2650	STF1932AB	9578	136176	74893	7.32		7.41		203.145	y	1.3	1.21	a	0.019	58.56	0.13	63.79	0.21	1941.484	y	0.024	0.6527	0.0017	51.26	0.24	2000	2013	2	n	Sca2015b	wds15183+2650p.png
151820.25	265025.3	15183+2650	STF1932B	9578	136176	74893	6.6				50	y		0.055	a		90		135		1895	y		0.7		243.5			1950	9	n	Mlr1952d	wds15183+2650r.png
151824.5	203422	15184+2034	HR 5692		136138	74896	5.69				506.45	d	0.18	4.14	m	0.52	42.9	6.7	207	7.4	53240.3	d	1.3	0.3353	0.0056	35.4	1.2	2000	2009	9	n	Trr2011	wds15184+2034d.png
151832.02	-475231	15185-4753	HJ 4753AB		135734	74911	4.93		4.99		772	y		1.657	a		114.6		137.4		2048	y		0.43		80.9		2000	2010	5	n	Zir2015a	wds15185-4753i.png
151834.84	235642.8	15186+2356	COU 307				9.5		9.6		110.6	y		0.21	a		134.2		31.5		1955.23	y		0.55		204.2				5		Cou1999b	wds15186+2356a.png
151940.37	-241611.9	15197-2416	HJ 4756	9586	136121	75012	7.9		8.27		541.6	y		1.196	a		117.1		150.9		1825.04	y		0.221		127.2		2000	1992	5		Zir2008	wds15197-2416a.png
152038.97	152249	15206+1523	HU 1160	9595		75090	9.59		9.72		177.74	y	11.99	1.111	a	0.021	55.2	4.5	39.4	5.2	2004.84	y	1.2	0.709	0.028	10.1	11.3		2007	4	n	Hrt2009	wds15206+1523a.png
152059.63	210406.3	15210+2104	HU  146	9600	136596	75117	9.53		9.7		627	y		0.839	a		102.8		113.3		2174.7	y		0.3		84.1		2000	2010	4		Zir2015a	wds15210+2104i.png
152235.11	725415.2	15226+7254	HDS2163		137825	75248	9.22		10.62		130.91	y		0.261	a		66		3.7		1993.53	y		0.483		39.2		2000	2010	4		Cve2015b	wds15226+7254o.png
152236.49	-475515.5	15226-4755	SLR  20		136466	75255	8.33		8.67		429.6	y	4.57	1.899	a	0.019	109.7	0.5	56	0.9	1972.88	y	1.56	0.469	0.004	344.6	2	2000	2014	4	n	Tok2015c	wds15226-4755o.png
152240.89	-444122.5	15227-4441	COP   2AB		136504	75264	3.56		5.04		736.69	y		1.409	a		117.6		125.1		2009.83	y		0.808		19.6		2000	2014	5	n	Tok2015c	wds15227-4441o.png
152312.23	301717.7	15232+3017	STF1937AB	9617	137107	75312	5.64		5.95		15204.9	d	1.4	0.86226	a	0.00033	58.084	0.026	202.827	0.024	42612.9	m	3.4	0.27907	0.00026	39.885	0.064	2000	2008	1	n	Mut2010b	wds15232+3017a.png
152322.66	-591914.5	15234-5919	HJ 4757		136415	75323	4.94		5.73		258	y		2.576	a		100.4		116		2075	y		0.931		264.9		2000	2009	4	n	Hrt2010a	wds15234-5919a.png
152411.93	-101918.8	15242-1019	eps Lib		137052	75379	4.93				226.9	d		8.4	m	1.3	52.6	9.4	215.5	7.5	14785.1	d		0.68		339.5			1992	9	n	Jnc2005	wds15242-1019s.png
152418.38	603256.3	15243+6033	GC 20737		137687	75389	7.4				399.1553	d	5.8026	7.73	m	0.73	45.92	8.28	14.23	24.86	48339.9375	d	47.1401	0.1999	0.161	246.06	51.39		1991	9	n	HIP1997d	wds15243+6033r.png
152422.2	572305.3	15244+5723	BD+57 1581			75401	10.9	B			1171	d	432	22	m	8	68	8	283	92	49102	d	456	0.62	0.22	101	92		1993	9		Gln2006	wds15244+5723r.png
152422.2	572305.3	15244+5723	BD+57 1581			75401	10.9	B			963	d	398	19	m	8	74	8	121	94	49026	d	320	0.47	0.34	132	46		1993	9		Gln2006	wds15244+5723s.png
152429.54	372237.1	15245+3723	"CHR 181Aa,Ab"	9626	137391	75411	4.31				3.75	y	0.005	0.099	a	0.0003	129.7	0.5	129.4	0.5	2006.33	y	0.01	0.27	0.001	43.5	0.8	2000	2012	1	n	Kiy2014	wds15245+3723o.png
152430.97	372049.5	15245+3723	"STF1938Ba,Bb"	9626	137392	75415	7.09		7.63		265	y	3	1.46	a	0.01	135.5	0.5	174	2	1864.9	y	0.2	0.585	0.005	338	2	2000	2012	2	n	Kiy2014	wds15245+3723p.png
152435.3	541246.1	15246+5413	HU  149	9628	137588	75425	7.48		7.62		770	y		0.776	a		96.8		90.7		1979.4	y		0.17		156		2000	2010	4		Zir2015a	wds15246+5413i.png
152435.95	-483455.2	15246-4835	B  1288AB		136807	75427	8.25		8.39		449.82	y	50.91	0.326	a	0.028	67.5	2.3	143.4	1.7	2013.7	y	0.6	0.742	0.019	284.9	6.1	2000	2014	4		Tok2015c	wds15246-4835o.png
152511.71	-465912.7	15252-4659	RST 767			75483	10.77		10.65		249.27	y		0.525	a		136		116.6		1921.63	y		0.504		335.4		2000	2014	5	n	Tok2015c	wds15252-4659o.png
152529.49	455651	15255+4557	GC 20750		137664	75508	7.28				755.1995	d	46.9336	5.98	m	0.73	62.65	8.54	137.04	10.43	48749.8203	d	35.9229	0		0			1991	9	n	HIP1997d	wds15255+4557r.png
152547.59	843014.1	15258+8430	MLR 347		140625	75529	9.52		9.91		39.2	y		0.193	a		133.5		34.1		1978.67	y		0.079		265.5		2000	1993	4		Ole2003b	wds15258+8430a.png
152613.05	-281837.7	15262-2819	RST 769		137320	75563	10.73		10.94		201.47	y		0.392	a		141.9		163.2		1977.28	y		0.379		238		2000	2014	5	n	Tok2015c	wds15262-2819o.png
152718.03	94201.1	15273+0942	A  1120	9643	137723	75645	8.5		9.1		51.75	y		0.161	a		60.9		156.3		1932.36	y		0.755		345.3		2000	2014	3	n	Msn2014b	wds15273+0942i.png
152720.82	173806.3	15273+1738	A  2074	9645	137792	75653	8.55		9.37		59	y		0.206	a		59.9		117.9		1981.9	y		0.9		305.2			1973	4	n	Baz1976	wds15273+1738a.png
152742.14	60604.5	15277+0606	STF1944	9647	137761	75682	8.32		8.79		1030	y		1.131	a		126.6		142.6		2089.3	y		0.5		294.8		2000	2010	5		Zir2015a	wds15277+0606i.png
152749.85	290619.8	15278+2906	JEF   1		137909	75695	3.68		5.2		3848.54	d	0.52	204.008	m	0.034	111.452	0.014	148.041	0.03	44412.8	m	1.4	0.53971	0.00021	180.21	0.13	2000	2008	1	n	Mut2010b	wds15278+2906a.png
152809.57	-92049.9	15282-0921	"BAG  25Aa,Ab"		137763	75718	6.9		10.2		889.6	d		38.6	m	1	60.3	1.8	95.8	3.5	47967.5	d		0.97		253.9			1992	9	n	Jnc2005	wds15282-0921r.png
152812.94	25121.6	15282+0251	A  2175	9654	137844	75724	8.78		9.09		218.14	y		0.263	a		65.5		177.6		1495.5	y		0.5		254.4		2000	1998	3	n	USN2006b	wds15282+0251a.png
153007.12	-75057.9	15301-0752	G 152-31				14.4				5.96	y		0.028	a		119		136		1980.7	y		0.4		18				9	n	Hrr1988	wds15301-0752r.png
153044.95	380948.7	15307+3810	HU 1163	9682	138439	75949	9.23		9.73		217	y	20	0.285	a	0.011	23.2	5.1	123	12	1989.21	y	0.49	0.603	0.022	305	14	2000	1997	3	n	Hrt2000a	wds15307+3810a.png
153117.22	-334911.2	15313-3349	B  2036AB		138138	76001	7.7		7.9		227.78	y		0.444	a		90.9		181.2		1985.94	y		0.5677		67		2000	2011	4		Hrt2011d	wds15313-3349k.png
153117.22	-334911.2	15313-3349	"HWE  78AB,C"		138138	76001	7.03		9.11		1258	y		1.689	a		157.4		40		2216	y		0.343		16.7		2000	2011	5		Lin2012d	wds15313-3349f.png
153122.31	363700	15314+3637	HR 5769		138525	76006	6.4				581.84	d	0.17	22	m	0.9	52.6	3	59.4	2	52644.5	d	0.28	0.655	0.003	135.2	0.5	2000	1991	9	n	Ren2010	wds15314+3637t.png
153142.89	5301.5	15317+0053	GC 20867		138369	76031	7.43				616.1465	d	20.8278	16.96	m	3.32	145.16	8.72	336.72	27.68	48221.1328	d	37.1701	0.2709	0.218	203.93	21.94		1991	9	n	HIP1997d	wds15317+0053r.png
153146.99	405357.7	15318+4054	A  1634AB	9688	138629	76041	5.8		5.8		9.026	y	0.017	0.0615	a	0.0007	109.7	1.2	199.4	0.9	2000.75	y	0.24	0.006	0.015	293	9	2000	2010	2	n	Hor2012a	wds15318+4054k.png
153248.18	194436.1	15328+1945	HU  577	9692	138641	76118	8.91		8.94		112.44	y		0.285	a		62.9		40		1944.45	y		0.42		124.5			1983	3	n	Cou1984b	wds15328+1945a.png
153309.53	-242925.2	15332-2429	"SEE 238Ba,Bb"	9689		76143	7		8.26		60.4	y		0.235	a		20.5		25		1998.5	y		0.64		312		2000	1986	3	n	Hei1988d	wds15332-2429a.png
153356.8	-170008.2	15339-1700	HDS2185		138648	76203	8.55		9.78		60	y		0.5391	a	0.0018	40		324	1	2011.53	y	0.02	0.3681	0.003	152.3	1	2000	2012	5		Tok2012b	wds15339-1700f.png
153440.64	265442.8	15347+2655	COU 798				9.5		9.8		154.7	y	1.5	0.259	a	0.004	66.7	2.5	46.1	4	1983.37	y	0.05	0.357	0.007	24.7	10	2000	2007	4	n	Doc2010h	wds15347+2655b.png
153441.19	264253.7	15347+2643	alp CrB		139006	76267	2.21				17.3599	d		1.75	m	0.61	88.2		330.4	20.47	36751.5195	d		0.37		311			1991	9	n	HIP1997d	wds15347+2643r.png
153448.14	103220	15348+1032	STF1954AB	9701	138917	76276	4.17		5.16		1038	y		3.83	a		111		171		2290	y		0.16		110		2000	2002	4	n	WSI2004a	wds15348+1032a.png
153449.84	-295227.4	15348-2952	BUG   3				15.5		16		23.1	y	4	0.234	a	0.03	85.6	0.4	13.4	0.3	2006.4	y	3	0.1	0.09	25	90	2000	2009	4	n	Kon2010	wds15348-2952k.png
153508.41	-411000.4	15351-4110	HJ 4786AB		138690	76297	2.95		4.45		190	y		0.655	a		95		94.6		1885	y		0.51		311.5		2000	1988	3	n	Hei1990c	wds15351-4110a.png
153528.34	-475056.7	15355-4751	HDS2191		138676	76328	9.41		10.06		62.52	y	14.96	0.302	a	0.037	88.6	0.9	201.9	1.1	2005.25	y	1.1	0.315	0.243	267.1	14.6	2000	2014	4		Tok2015c	wds15355-4751o.png
153602.59	394808.7	15360+3948	STT 298AB	9716	139341	76382	7.16		8.44		55.6	y		0.794	a		63		0		1993.99	y		0.59		23		2000		1	n	Sod1999	wds15360+3948a.png
153700.37	642623.3	15370+6426	HU 1168	9730	139905	76466	9.48		9.73		88.57	y	0.7	0.376	a	0.06	122.7	2	127.8	11	1984.44	y	0.09	0.599	0.006	47.7	18.5	2000	1997	3	n	Doc2009g	wds15370+6426k.png
153755.38	500458.1	15379+5005	HDS2203		139779	76540	8.03		9.84		26.31	y		0.23	a		80.8		117.2		2013.88	y		0.372		297.8		2000	2010	3		Cve2013b	wds15379+5005a.png
